feature,count,runs,frequency_%,classification
income_Category,43,50,86.0%,CONSENSUS
education_Level,31,50,62.0%,IMPORTANT
card_Category,25,50,50.0%,UNCERTAIN
Avg_Utilization_Ratio,24,50,48.0%,UNCERTAIN
marital_Status,20,50,40.0%,UNCERTAIN
CLIENTNUM,8,50,16.0%,EXPLORATORY
Total_Trans_Amt,8,50,16.0%,EXPLORATORY
gender,8,50,16.0%,EXPLORATORY
attrition_Flag,7,50,14.0%,EXPLORATORY
Total_Trans_Ct,6,50,12.0%,EXPLORATORY
Total_Amt_Chng_Q4_Q1,4,50,8.0%,EXPLORATORY
Customer_Age,4,50,8.0%,EXPLORATORY
Total_Relationship_Count,4,50,8.0%,EXPLORATORY
Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,4,50,8.0%,EXPLORATORY
Contacts_Count_12_mon,3,50,6.0%,EXPLORATORY
Dependent_count,3,50,6.0%,EXPLORATORY
Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2,2,50,4.0%,EXPLORATORY
Months_on_book,1,50,2.0%,EXPLORATORY
