feature,occurrences,frequency_%
income_Category,43,86.0
education_Level,35,70.0
Avg_Utilization_Ratio,24,48.0
marital_Status,23,46.0
card_Category,20,40.0
CLIENTNUM,10,20.0
attrition_Flag,10,20.0
Total_Trans_Ct,5,10.0
Total_Trans_Amt,5,10.0
gender,5,10.0
Total_Amt_Chng_Q4_Q1,4,8.0
Customer_Age,3,6.0
Months_Inactive_12_mon,3,6.0
Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,3,6.0
Dependent_count,3,6.0
Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2,2,4.0
Total_Relationship_Count,1,2.0
